Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-14 10:05:00,2031.3,2032.0,2026.0,2026.5,7709,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,5,
2025-10-14 10:10:00,2026.3,2028.6,2024.4,2027.5,5706,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,10,
2025-10-14 10:15:00,2027.9,2031.4,2027.0,2029.0,4055,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,15,
2025-10-14 10:20:00,2029.0,2029.8,2024.8,2026.0,5398,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,20,
2025-10-14 10:25:00,2025.5,2028.7,2025.5,2027.3,3095,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,25,
2025-10-14 10:30:00,2027.3,2034.6,2026.8,2034.6,9222,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,30,short
2025-10-14 10:35:00,2034.3,2034.8,2031.1,2033.5,4276,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,35,
2025-10-14 10:40:00,2033.7,2035.0,2032.1,2033.0,4203,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,40,
2025-10-14 10:45:00,2033.0,2038.0,2032.8,2035.9,5759,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,45,short
2025-10-14 10:50:00,2035.9,2036.9,2033.3,2035.0,3441,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,50,short
2025-10-14 10:55:00,2034.7,2035.0,2033.0,2034.1,2079,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,55,
2025-10-14 11:00:00,2034.1,2036.0,2034.0,2035.3,2142,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,0,short
2025-10-14 11:05:00,2035.3,2038.7,2035.1,2036.9,4526,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,5,short
2025-10-14 11:10:00,2036.6,2041.0,2036.3,2037.5,8847,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,10,short
2025-10-14 11:15:00,2037.5,2038.2,2036.5,2037.5,2450,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,15,short
2025-10-14 11:20:00,2037.5,2038.7,2032.4,2033.0,5120,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,20,short
2025-10-14 11:25:00,2033.0,2035.8,2032.8,2035.2,3106,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,11,25,short
2025-10-14 13:00:00,2035.2,2035.5,2032.8,2032.8,4052,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,0,short
2025-10-14 13:05:00,2033.0,2033.9,2031.1,2033.5,4247,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,5,short
2025-10-14 13:10:00,2033.5,2033.9,2028.6,2028.6,5850,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,10,short
2025-10-14 13:15:00,2028.6,2029.3,2025.0,2027.0,10297,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,15,short
2025-10-14 13:20:00,2027.0,2027.0,2019.2,2022.0,13166,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,20,
2025-10-14 13:25:00,2022.5,2028.7,2021.6,2026.4,11300,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,25,short
2025-10-14 13:30:00,2026.2,2026.2,2021.7,2024.9,8270,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,30,short
2025-10-14 13:35:00,2024.8,2026.5,2021.1,2021.1,5185,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,35,short
2025-10-14 13:40:00,2021.1,2023.7,2018.4,2022.2,9479,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,40,short
2025-10-14 13:45:00,2022.6,2023.6,2014.1,2019.9,12959,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,45,short
